name,element,position,team_name,opponent_name,GW,season,total_points_last3,total_points_last5,minutes_last3,minutes_last5,goals_scored_last3,assists_last3,ict_index_last3,team_goals_last3,team_points_last3,opp_goals_last3,opp_points_last3,opp_conceded_last3_true,fixture_1_5_fdr
Aaron Hickey,116,DEF,Brentford,Leeds,31,2025-26,0.0,0.4,0.0,9.0,0.0,0.0,0.0,0.6666666666666666,29.666666666666668,0.0,25.333333333333332,0.5,3.0
Aaron Ramsdale,674,GK,Newcastle,Sunderland,31,2025-26,3.3333333333333335,2.0,60.0,36.0,0.0,0.0,1.5,1.0,35.333333333333336,0.3333333333333333,31.0,0.5,2.0
Aaron Ramsey,211,MID,Burnley,Fulham,31,2025-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.666666666666668,0.0,28.0,0.5,3.0
Aaron Wan-Bissaka,610,DEF,West Ham,Aston Villa,31,2025-26,3.0,3.4,90.0,90.0,0.0,0.0,2.033333333333333,0.6666666666666666,35.0,0.6666666666666666,19.666666666666668,3.5,3.0
Aarón Anselmino,234,DEF,Chelsea,Everton,31,2025-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,28.666666666666668,0.6666666666666666,37.333333333333336,1.0,3.0
Abdallah Sima,165,MID,Brighton,Liverpool,31,2025-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,33.0,0.6666666666666666,30.666666666666668,1.5,4.0
Abdoullah Ba,554,MID,Sunderland,Newcastle,31,2025-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,31.0,1.0,35.333333333333336,0.5,4.0
Adam Aznou,667,DEF,Everton,Chelsea,31,2025-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,37.333333333333336,1.3333333333333333,28.666666666666668,1.0,3.0
Adam Smith,73,DEF,Bournemouth,Man Utd,31,2025-26,2.6666666666666665,2.0,20.0,12.4,0.0,0.0,1.9333333333333333,0.0,42.666666666666664,1.3333333333333333,28.0,1.5,3.0
Adam Webster,153,DEF,Brighton,Liverpool,31,2025-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,33.0,0.6666666666666666,30.666666666666668,1.5,4.0
Adama Traoré Diarra,326,MID,West Ham,Aston Villa,31,2025-26,1.0,0.8,10.333333333333334,6.4,0.0,0.0,0.06666666666666667,0.6666666666666666,35.0,0.6666666666666666,19.666666666666668,3.5,3.0
Adrian Mazilu,176,MID,Brighton,Liverpool,31,2025-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,33.0,0.6666666666666666,30.666666666666668,1.5,4.0
Adrien Truffert,74,DEF,Bournemouth,Man Utd,31,2025-26,7.666666666666667,7.2,90.0,90.0,0.0,0.0,4.300000000000001,0.0,42.666666666666664,1.3333333333333333,28.0,1.5,3.0
Ahmed Abdullahi,562,FWD,Sunderland,Newcastle,31,2025-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,31.0,1.0,35.333333333333336,0.5,4.0
Airidas Golambeckis,752,DEF,West Ham,Aston Villa,31,2025-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,35.0,0.6666666666666666,19.666666666666668,3.5,3.0
Aji Alese,533,DEF,Sunderland,Newcastle,31,2025-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,31.0,1.0,35.333333333333336,0.5,4.0
Alan Browne,555,MID,Sunderland,Newcastle,31,2025-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,31.0,1.0,35.333333333333336,0.5,4.0
Alejandro Garnacho Ferreyra,453,MID,Chelsea,Everton,31,2025-26,3.0,1.8,61.333333333333336,36.8,0.0,0.3333333333333333,7.8999999999999995,1.3333333333333333,28.666666666666668,0.6666666666666666,37.333333333333336,1.0,3.0
Alex Cairns,340,GK,Leeds,Brentford,31,2025-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.333333333333332,0.6666666666666666,29.666666666666668,1.0,3.0
Alex Iwobi,324,MID,Fulham,Burnley,31,2025-26,5.0,6.0,89.66666666666667,89.2,0.3333333333333333,0.0,7.400000000000001,0.0,28.0,0.0,25.666666666666668,1.0,2.0
Alex Murphy,481,DEF,Newcastle,Sunderland,31,2025-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,35.333333333333336,0.3333333333333333,31.0,0.5,2.0
Alex Paulsen,70,GK,Bournemouth,Man Utd,31,2025-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.666666666666664,1.3333333333333333,28.0,1.5,3.0
Alex Scott,90,MID,Bournemouth,Man Utd,31,2025-26,3.6666666666666665,4.0,90.0,90.0,0.0,0.0,5.0,0.0,42.666666666666664,1.3333333333333333,28.0,1.5,3.0
Alex Tóth,801,MID,Bournemouth,Man Utd,31,2025-26,0.0,0.2,1.6666666666666667,12.4,0.0,0.0,0.5333333333333333,0.0,42.666666666666664,1.3333333333333333,28.0,1.5,3.0
Alexander Isak,499,FWD,Liverpool,Brighton,31,2025-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,30.666666666666668,0.3333333333333333,33.0,0.5,3.0
Alexis Mac Allister,386,MID,Liverpool,Brighton,31,2025-26,6.333333333333333,7.0,90.0,90.0,0.3333333333333333,0.3333333333333333,5.833333333333333,0.6666666666666666,30.666666666666668,0.3333333333333333,33.0,0.5,3.0
Alfie McNally,786,GK,Fulham,Burnley,31,2025-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,25.666666666666668,1.0,2.0
Alisson Becker,366,GK,Liverpool,Brighton,31,2025-26,2.3333333333333335,4.2,90.0,90.0,0.0,0.0,2.5,0.6666666666666666,30.666666666666668,0.3333333333333333,33.0,0.5,3.0
Alphonse Areola,600,GK,West Ham,Aston Villa,31,2025-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,35.0,0.6666666666666666,19.666666666666668,3.5,3.0
Altay Bayındır,431,GK,Man Utd,Bournemouth,31,2025-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,28.0,0.0,42.666666666666664,0.0,4.0
Alysson Edward Franco da Rocha dos Santos,792,MID,Aston Villa,West Ham,31,2025-26,0.6666666666666666,0.6,10.333333333333334,9.4,0.0,0.0,0.3333333333333333,0.6666666666666666,19.666666666666668,0.6666666666666666,35.0,0.5,2.0
Amad Diallo,452,MID,Man Utd,Bournemouth,31,2025-26,1.3333333333333333,1.4,39.666666666666664,53.2,0.0,0.0,4.133333333333333,1.3333333333333333,28.0,0.0,42.666666666666664,0.0,4.0
